,response,knowledge
3307," The listener will wait for the speaker to bring the blanket.
"," The speaker goes to check the storeroom searching for the blanket.
"
3308," The listener will wait for the speaker to bring the blanket.
"," The speaker goes to check the storeroom searching for the blanket.
"
3309," The speaker is concerned about the listener.
"," The speaker was in hurry and did not want to disappoint his customers.
"
3310," The listener brings the blanket for the speaker.
"," The listener gives the last stock of blankets to the speaker.
"
3311," The listener brings the blanket for the speaker.
"," The listener gives the last stock of blankets to the speaker.
"
3312," The listener is happy to help the speaker.
"," The listener was disappointed because of the inconvenience caused to the speaker.
"
3313," The speaker is curious to know the way to the olympic stadium.
"," The speaker was eager to reach the olympic stadium for her first practice session of javelin throw.
"
3314," The speaker knows the way to the olympic stadium.
"," The speaker had been going to the olympic stadium for practice for the last six months.
"
3315," The listener follows the instructions given by the speaker and reaches the olympic stadium.
"," The listener follows the direction informed by the speaker.
"
3316," The listener follows the instructions given by the speaker and reaches the olympic stadium.
"," The listener follows the direction informed by the speaker.
"
3317," The listener has helped the speaker to reach the olympic stadium.
"," The speaker asked the listener to take a right from the t point.
"
3318," The speaker will reach the olympic stadium on time.
"," The listener reached the stadium on time without any issues.
"
3319," The speaker will reach the olympic stadium on time.
"," The listener reached the stadium on time without any issues.
"
3320," The listener is happy to help the speaker.
"," The listener was being grateful to the speaker for helping her.
"
3321," The speaker is curious to know how long it will take to reach his destination.
"," The speaker was curious to reach his destination on time.
"
3322," The speaker has to reach his office on time.
"," The listener inquired how much more time would the speaker take to reach his destination.
"
3323," There is no traffic jam on the road.
"," The listener had to catch a flight that was scheduled for 12 midnight.
"
3324," The speaker will reach his destination on time.
"," The speaker suggest take bike taxi to reach the destrination.
"
3325," The speaker will reach his destination on time.
"," The speaker suggest take bike taxi to reach the destrination.
"
3326," The listener is happy to know that the speaker will reach his destination on time.
"," The listener was confident enough to drop the speaker right on time.
"
3327," The speaker wants to help the listener.
"," The speaker was curious to help the listener.
"
3328," The speaker is curious to know if he can buy more than one case of drinks.
"," The speaker was eager to know if he could have more than one can of the cold drink.
"
3329," The listener asked the speaker if he could buy more than one case of drinks.
"," The listener inquired if he could have more than one can of the drinks.
"
3330," The listener asked the speaker if he could buy more than one case of drinks.
"," The listener buy four cans for his family.
"
